Distance droite (cm),Distance gauche (cm)
13.786666666666667,108.73179723502304
14.155191256830602,101.4079754601227
14.865968586387435,107.05555555555557
14.408552631578948,104.86205357142858
14.023555555555555,105.52799999999999
13.870666666666668,105.60833333333332
13.933185840707964,105.61513157894737
13.878666666666666,105.79911111111112
12.965128205128204,104.75064935064935
15.320218579234972,110.95705521472394
13.705960264900662,100.76372093023255
14.117857142857142,105.49466666666667
13.843708609271522,105.53628318584072
13.917777777777777,104.48733333333332
13.972666666666665,106.79690265486727
12.606467661691543,105.98543046357615
15.703448275862069,116.65672514619882
14.522666666666666,97.04541062801933
14.109734513274336,105.08278145695365
15.443999999999999,106.75575221238937
14.21822222222222,105.61447368421052
14.219333333333333,106.14557522123894
12.668095238095237,106.43866666666668
15.883832335329341,119.57611111111112
13.976158940397351,92.82474747474747
13.516470588235293,97.3183908045977
14.461274509803923,106.398
13.732,105.85418502202643
14.15911111111111,106.01854304635762
14.086000000000002,105.99162995594713
14.161061946902654,105.6782894736842
13.99,109.98779342723006
13.213888888888889,100.12155688622754
14.793401015228426,105.64736842105262
14.112666666666666,105.57787610619468
14.12711111111111,106.45333333333333
13.914093959731542,105.6
14.130973451327435,105.04172185430464
14.030921052631578,108.75707762557079
13.412234042553191,102.40822784810128
14.838297872340425,107.98258064516128
13.841333333333333,102.78954545454546
14.057777777777778,105.6953947368421
13.99933774834437,105.54469026548672
14.1358407079646,106.02384105960266
14.028,106.41497797356828
12.978974358974359,106.06953642384106
15.417777777777777,111.98181818181817
15.508000000000001,101.0126168224299
14.256696428571427,106.00662251655629
13.756666666666666,105.62035398230088
15.021238938053097,106.10794701986757
13.99933774834437,106.47911111111111
12.748039215686275,106.49133333333334
15.57456647398844,116.45523255813953
14.193999999999999,96.38088235294117
13.994196428571428,105.05629139072849
14.172666666666666,105.84405286343613
14.04088888888889,105.16887417218543
14.040000000000001,105.50884955752213
13.32559241706161,105.98079470198675
15.947560975609756,119.18846153846155
14.057615894039737,93.10252525252525
14.952444444444444,105.99867549668875
13.912582781456953,106.26052631578948
13.88888888888889,105.60065789473683
13.882666666666665,106.13716814159292
13.372727272727271,105.97549668874171
14.98,117.51693121693123
13.973417721518988,94.74095744680851
14.122222222222224,106.362
14.17682119205298,106.14513274336284
14.13215859030837,105.5611842105263
14.131788079470198,105.87797356828193
14.203999999999999,105.98278145695365
14.040666666666667,114.23819095477386
14.845833333333335,96.92977528089888
15.07095238095238,105.63092105263158
14.184666666666667,105.88678414096917
14.206578947368422,106.30733333333333
13.978666666666665,105.90088105726872
13.834666666666667,105.55394736842106
14.051333333333332,110.51435406698565
13.333522727272728,98.66804733727811
14.480402010050252,106.03046357615895
13.917880794701986,105.91629955947137
13.962719298245613,106.39466666666667
13.994039735099339,106.41333333333334
14.161061946902654,105.90860927152319
14.131333333333334,108.07557603686637
13.056216216216217,103.74088050314465
14.94021164021164,108.39810126582279
13.951006711409397,104.75
13.918141592920355,105.51333333333335
14.065771812080536,105.5725663716814
14.124553571428573,105.6046052631579
14.008666666666667,106.1716814159292
12.701010101010102,106.88609271523178
15.037078651685395,112.42108433734941
13.823489932885906,100.82971698113207
14.122566371681415,106.0158940397351
14.093288590604027,104.91769911504426
14.279646017699116,105.46466666666667
14.274000000000001,105.2806167400881
12.810194174757282,106.01456953642385
15.501176470588234,117.86327683615818
14.16291390728477,95.73267326732673
14.120089285714286,105.9867549668874
15.306666666666667,106.14473684210527
14.146017699115044,106.07086092715231
13.886000000000001,105.30176211453745
12.382547169811321,105.60466666666666
16.167484662576687,119.47637362637363
13.943046357615893,93.82628865979382
14.186725663716814,105.59671052631579
13.780666666666667,105.67587719298247
15.026991150442479,106.41
13.876,106.16415929203541
14.55610859728507,105.55657894736842
14.86516129032258,116.4484375
13.79685534591195,95.8983870967742
14.206944444444446,106.80596026490066
